City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,canutama,-6.5339,-64.3831,23.11,97,90,1.08,BR,1676080010
1,avarua,-21.2078,-159.775,28.03,78,20,4.63,CK,1676080011
2,broken hill,-31.95,141.4333,31.14,20,0,4.48,AU,1676080011
3,kapaa,22.0752,-159.319,27.99,70,40,8.75,US,1676080012
4,puerto ayora,-0.7393,-90.3518,26.42,94,98,1.34,EC,1676080012
5,high level,58.5169,-117.136,-9.94,92,100,2.06,CA,1676080013
6,dhidhdhoo,6.8833,73.1,26.42,74,42,1.76,MV,1676080014
7,xinqing,48.2333,129.5,-8.77,85,100,0.54,CN,1676080014
8,ingham,42.6,-84.3833,-1.43,67,100,5.66,US,1676080015
9,provideniya,64.3833,-173.3,-26.42,88,100,3.18,RU,1676080015
10,baruun-urt,46.6806,113.2792,-14.99,87,88,2.58,MN,1676080016
11,coruripe,-10.1256,-36.1756,25.86,79,100,4.98,BR,1676080017
12,arraial do cabo,-22.9661,-42.0278,24.11,93,100,7.63,BR,1676080017
13,new norfolk,-42.7826,147.0587,22.06,43,13,1.36,AU,1676080018
14,victoria,22.2855,114.1577,21.65,91,98,4.92,HK,1676079764
15,mayo,38.8876,-76.5119,10.08,57,0,4.63,US,1676079859
16,hobart,-42.8794,147.3294,21.81,71,75,3.6,AU,1676079818
17,hermanus,-34.4187,19.2345,20.45,80,0,4.56,ZA,1676080019
18,punta arenas,-53.15,-70.9167,10.06,57,0,8.75,CL,1676080020
19,torbay,47.6666,-52.7314,-3.74,93,100,13.38,CA,1676080020
20,mount isa,-20.7333,139.5,32.87,40,9,6.17,AU,1676080021
21,fortuna,40.5982,-124.1573,9.19,90,100,0.45,US,1676079802
22,bluff,-46.6,168.3333,20.45,65,44,6.24,NZ,1676080022
23,chokurdakh,70.6333,147.9167,-45.4,99,69,2.04,RU,1676080023
24,bambous virieux,-20.3428,57.7575,26.23,78,75,3.09,MU,1676080024
25,lavrentiya,65.5833,-171.0,-28.48,87,34,4.74,RU,1676080024
26,ushuaia,-54.8,-68.3,9.81,93,75,1.03,AR,1676080025
27,san cristobal,7.7669,-72.225,21.1,86,57,0.89,VE,1676079876
28,lebu,-37.6167,-73.65,14.99,85,0,6.24,CL,1676080026
29,souillac,-20.5167,57.5167,25.21,78,75,3.09,MU,1676080027
30,biak,-0.9131,122.8766,27.62,67,100,1.1,ID,1676080028
31,busselton,-33.65,115.3333,21.46,42,0,3.68,AU,1676080028
32,pangnirtung,66.1451,-65.7125,-38.23,93,89,1.21,CA,1676080029
33,kampot,10.6167,104.1833,27.03,63,63,2.89,KH,1676080030
34,vaini,-21.2,-175.2,28.09,89,75,4.63,TO,1676080030
35,springbok,-29.6643,17.8865,20.22,45,0,1.35,ZA,1676080031
36,ostrovnoy,68.0531,39.5131,-7.41,96,100,2.77,RU,1676080032
37,cape town,-33.9258,18.4232,21.06,68,0,0.51,ZA,1676080014
38,paamiut,61.994,-49.6678,-17.53,88,75,3.88,GL,1676080033
39,hasaki,35.7333,140.8333,10.22,51,0,11.92,JP,1676080034
40,barrow,71.2906,-156.7887,-22.99,77,100,9.26,US,1676080034
41,nikolskoye,59.7035,30.7861,-2.06,88,100,4.08,RU,1676080035
42,kungurtug,50.5994,97.5228,-19.6,99,100,0.24,RU,1676080036
43,olinda,-8.0089,-34.8553,27.85,69,40,2.57,BR,1676080036
44,albany,42.6001,-73.9662,5.13,74,41,0.45,US,1676079627
45,rocky mountain house,52.3668,-114.9188,5.06,30,3,5.14,CA,1676080037
46,upernavik,72.7868,-56.1549,-26.78,93,100,2.34,GL,1676080038
47,butaritari,3.0707,172.7902,27.3,77,36,9.29,KI,1676080039
48,comodoro rivadavia,-45.8667,-67.5,22.92,25,0,9.26,AR,1676080039
49,jamestown,42.097,-79.2353,0.29,87,100,6.69,US,1676080040
50,carnarvon,-24.8667,113.6333,27.86,51,5,9.03,AU,1676080041
51,pochutla,15.7432,-96.4661,26.9,71,0,1.98,MX,1676080042
52,zeya,53.75,127.2667,-18.1,86,61,0.75,RU,1676080043
53,vero beach,27.6386,-80.3973,24.99,80,75,6.17,US,1676079853
54,mar del plata,-38.0023,-57.5575,24.01,100,0,3.6,AR,1676080044
55,richards bay,-28.783,32.0377,22.29,92,100,5.06,ZA,1676080045
56,mana,5.6592,-53.7767,24.3,82,76,4.71,GF,1676080046
57,korla,41.7597,86.1469,0.64,50,100,5.01,CN,1676080046
58,marshfield,44.6689,-90.1718,-4.51,63,0,2.57,US,1676080047
59,kholodnyy,62.7167,147.95,-24.83,83,100,1.02,RU,1676080048
60,houma,29.5958,-90.7195,13.0,87,40,3.09,US,1676079895
61,atasu,48.6814,71.6433,-13.14,96,100,3.43,KZ,1676080049
62,rikitea,-23.1203,-134.9692,26.53,75,100,7.85,PF,1676080050
63,piacabucu,-10.4056,-36.4344,26.07,78,100,4.75,BR,1676080049
64,yerbogachen,61.2767,108.0108,-27.98,98,95,2.9,RU,1676080051
65,klaksvik,62.2266,-6.589,8.51,83,100,10.62,FO,1676080052
66,garden city,42.3256,-83.331,0.53,65,75,7.2,US,1676079922
67,tuktoyaktuk,69.4541,-133.0374,-28.0,76,100,8.75,CA,1676080053
68,mutuipe,-13.2286,-39.5047,21.4,98,22,1.28,BR,1676080054
69,price,39.5994,-110.8107,-1.41,34,0,0.0,US,1676080054
70,napanee,44.2501,-76.9494,1.91,75,83,7.09,CA,1676079923
71,saint-felicien,48.6501,-72.4491,-8.62,86,100,4.12,CA,1676080055
72,bredasdorp,-34.5322,20.0403,19.24,89,0,3.68,ZA,1676080056
73,saint george,37.1041,-113.5841,14.33,14,0,6.17,US,1676079760
74,yuzhou,34.1628,113.4639,3.41,88,100,1.12,CN,1676080057
75,eureka,40.8021,-124.1637,9.34,93,100,0.45,US,1676079929
